iso639_3,glotto_name,glottocode,family_id,glotto_family,countries,macroarea,latitude,longitude
sgm,Singa,sing1266,atla1278,Atlantic-Congo,KE,Africa,-0.24587,33.8997
cuq,Cun-Nadou,cunn1236,taik1256,Tai-Kadai,CN,Eurasia,19.2182,108.743
gfk,Patpatar,patp1243,aust1307,Austronesian,PG,Papunesia,-3.766666667,152.5
bfn,Bunak,buna1278,timo1261,Timor-Alor-Pantar,ID;TL,Papunesia,-9.13618,125.216
tef,Teressa,tere1272,aust1305,Austroasiatic,IN,Eurasia,8.23716,93.1297
tvu,Tunen,tune1261,atla1278,Atlantic-Congo,CM,Africa,4.75,10.66666667
wib,Southern Toussian,sout2797,atla1278,Atlantic-Congo,BF;CI,Africa,11,-4.666666667
tit,Tinigua,tini1245,,,CO,South America,2.716,-73.768
nbk,Nake,nake1240,nucl1709,Nuclear Trans New Guinea,PG,Papunesia,-5.09087,145.655
jbt,Djeoromitxí,djeo1235,nucl1710,Nuclear-Macro-Je,BR,South America,-12.25,-62.25
enl,Enlhet Norte,nort2971,leng1261,Lengua-Mascoy,PY,South America,-22.54,-58.98
bys,Burak,bura1271,atla1278,Atlantic-Congo,NG,Africa,9.49451,11.0698
kwa,Dâw,daww1239,nada1235,Naduhup,BR,South America,-0.25,-67.08333333
tpm,Tampulma,tamp1252,atla1278,Atlantic-Congo,GH,Africa,10.41666667,-0.583333333
bgo,Baga Koga,baga1273,atla1278,Atlantic-Congo,GN,Africa,10.1286,-13.947
bdf,Biage,biag1234,koia1260,Koiarian,PG,Papunesia,-8.8794,147.6533
brv,Western Bru,west2397,aust1305,Austroasiatic,LA;TH,Eurasia,16.75,104.75
skl,Selako,sela1262,book1242,Bookkeeping,,,,
smu,Somray of Battambang-Somre of Siem Reap,somr1240,aust1305,Austroasiatic,KH,Eurasia,12.243,103.139
kis,Kis,kiss1246,aust1307,Austronesian,PG,Papunesia,-3.83909,143.96
auc,Waorani,waor1240,,,EC,South America,-1,-76.5
itr,Iteri,iter1241,left1242,Left May,PG,Papunesia,-4.11998,141.585
god,Godié,godi1239,krua1234,Kru,CI,Africa,5.25,-5.666666667
wuh,Wutunhua,wutu1241,sino1245,Sino-Tibetan,CN,Eurasia,35.269,101.957
yso,Nisi (China),nisi1238,sino1245,Sino-Tibetan,CN,Eurasia,23.418,104.85
hbn,Ebang,heib1243,heib1242,Heibanic,SD,Africa,11.2908,30.5282
bsr,Bassa-Kontagora,bass1259,atla1278,Atlantic-Congo,NG,Africa,10.3333,4.98331
udl,Wuzlam,wuzl1236,afro1255,Afro-Asiatic,CM,Africa,10.95,14.11666667
tsp,Northern Toussian,nort2787,atla1278,Atlantic-Congo,BF,Africa,11.133,-4.88274
quc,K'iche',kich1262,maya1287,Mayan,GT;MX,North America,15,-91.41666667
lln,Lele (Chad),lele1276,afro1255,Afro-Asiatic,TD,Africa,9.083333333,15.58333333
kbv,Dera (Indonesia),dera1245,sena1264,Senagi,ID;PG,Papunesia,-3.583333333,141
bsf,Bauchi,bauc1238,atla1278,Atlantic-Congo,NG,Africa,10.2077,6.61686
tec,Terik,teri1244,nilo1247,Nilotic,KE,Africa,0.6,35
thl,Dangaura Tharu,dang1260,indo1319,Indo-European,IN;NP,Eurasia,27.8834,81.7761
vut,Vute,vute1244,atla1278,Atlantic-Congo,CM;NG,Africa,6.13603,11.8839
poj,Lower Pokomo,lowe1441,book1242,Bookkeeping,,,,
ewo,Ewondo,ewon1239,atla1278,Atlantic-Congo,CM,Africa,4,12
osu,Southern One,sout2932,nucl1708,Nuclear Torricelli,PG,Papunesia,-3.41913,141.852
wlo,Wolio,woli1241,aust1307,Austronesian,ID,Papunesia,-5.5,122.75
gqu,Central Gelao-Qau,qaua1234,taik1256,Tai-Kadai,CN,Eurasia,22.91666667,105.5
ecy,Eteocypriot,eteo1240,uncl1493,Unclassifiable,CY,Eurasia,34.72103,33.1189
aix,Aighon,aigh1235,aust1307,Austronesian,PG,Papunesia,-5.99488,150.272
rou,Runga,rung1258,maba1274,Maban,CF;SD;TD,Africa,10.33333333,21
phh,Phukha,phuk1235,sino1245,Sino-Tibetan,CN;VN,Eurasia,25.5277,106.148
cgc,Kagayanen,kaga1256,aust1307,Austronesian,PH,Papunesia,10.4656,119.872
gsg,German Sign Language,germ1281,sign1238,Sign Language,DE,Eurasia,52,11
gvj,Guajá,guaj1256,tupi1275,Tupian,BR,South America,-3.93574,-46.3683
ukv,Kuku,kuku1285,nilo1247,Nilotic,SS;UG,Africa,3.9613,31.537
sgb,Mag-Anchi Ayta,maga1263,aust1307,Austronesian,PH,Papunesia,15.1954,120.459
hil,Hiligaynon,hili1240,aust1307,Austronesian,PH,Papunesia,10.25,123
nzu,Teke-Nzikou,teke1279,atla1278,Atlantic-Congo,CG,Africa,-2.65261,15.2047
wya,Huron-Wyandot,wyan1247,iroq1247,Iroquoian,US,North America,44.33333333,-77.5
lja,Golpa,golp1234,pama1250,Pama-Nyungan,AU,Australia,-12.03482,135.56592
cut,Teutila Cuicatec,teut1235,otom1299,Otomanguean,MX,North America,17.9029,-96.6645
asl,Asilulu,asil1242,aust1307,Austronesian,ID,Papunesia,-3.67302,127.952
kvu,Yinbaw Karen,yinb1236,sino1245,Sino-Tibetan,MM,Eurasia,19.0383,97.2134
kxw,Konai,kona1242,east2433,East Strickland,PG,Papunesia,-5.66011,142.069
rac,Rasawa,rasa1243,lake1255,Lakes Plain,ID,Papunesia,-2.37609,136.352
cnu,Western Algerian Berber,chen1266,afro1255,Afro-Asiatic,DZ,Africa,36.5917,2.19899
crq,Iyo'wujwa Chorote,iyow1239,mata1289,Matacoan,AR;BO;PY,South America,-22.2067,-62.6508
tpl,Tlacoapa Me'phaa,tlac1237,otom1299,Otomanguean,MX,North America,17.3262,-98.8013
okk,Kwamtim One,kwam1254,nucl1708,Nuclear Torricelli,PG,Papunesia,-3.44911,141.889
