glottocode,url,total_resources,dictionary,grammar_sketch,grammar,phonology,text,wordlist,comparative,minimal,dialectology,ethnographic,overview,bibliographical,specific_feature,socling,new_testament,unknown,status
sing1266,https://glottolog.org/langdoc?language=sing1266,4,0,0,0,0,0,3,1,0,0,1,4,0,0,1,0,0,ok
cunn1236,https://glottolog.org/langdoc?language=cunn1236,20,0,2,3,2,0,3,5,4,0,0,3,0,0,0,0,0,ok
patp1243,https://glottolog.org/langdoc?language=patp1243,16,1,0,2,0,0,4,2,2,0,3,4,0,0,0,0,0,ok
buna1278,https://glottolog.org/langdoc?language=buna1278,16,1,2,2,0,1,2,5,2,1,0,2,0,0,0,0,0,ok
tere1272,https://glottolog.org/langdoc?language=tere1272,12,1,0,0,0,1,4,3,0,0,1,3,1,2,0,0,0,ok
tune1261,https://glottolog.org/langdoc?language=tune1261,51,1,5,2,9,0,4,10,1,0,9,15,0,2,0,0,0,ok
sout2797,https://glottolog.org/langdoc?language=sout2797,46,1,4,0,0,0,2,2,0,0,1,4,1,4,0,0,0,ok
tini1245,https://glottolog.org/langdoc?language=tini1245,24,0,2,0,1,1,3,5,0,0,3,4,2,0,1,0,0,ok
nake1240,https://glottolog.org/langdoc?language=nake1240,6,0,0,0,0,1,1,3,2,0,0,3,0,0,0,0,0,ok
djeo1235,https://glottolog.org/langdoc?language=djeo1235,31,2,1,0,0,1,7,7,0,0,7,8,0,1,3,0,0,ok
nort2971,https://glottolog.org/langdoc?language=nort2971,16,2,0,1,0,1,2,2,0,0,4,2,0,3,0,0,0,ok
bura1271,https://glottolog.org/langdoc?language=bura1271,6,0,0,0,0,0,3,4,2,0,1,4,0,0,0,0,0,ok
daww1239,https://glottolog.org/langdoc?language=daww1239,16,0,2,1,1,1,2,4,1,0,0,5,0,2,2,0,0,ok
tamp1252,https://glottolog.org/langdoc?language=tamp1252,30,0,0,0,1,0,3,2,0,0,1,3,0,1,0,0,0,ok
baga1273,https://glottolog.org/langdoc?language=baga1273,11,0,1,0,0,0,3,5,0,0,0,6,0,1,0,0,0,ok
biag1234,https://glottolog.org/langdoc?language=biag1234,4,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,0,ok
west2397,https://glottolog.org/langdoc?language=west2397,16,1,4,1,2,2,1,2,0,0,1,0,0,2,0,0,0,ok
sela1262,https://glottolog.org/langdoc?language=sela1262,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ok
somr1240,https://glottolog.org/langdoc?language=somr1240,11,0,0,0,1,1,3,6,1,0,2,5,0,0,0,0,0,ok
kiss1246,https://glottolog.org/langdoc?language=kiss1246,7,0,0,0,0,1,2,4,0,0,0,3,0,0,0,0,0,ok
waor1240,https://glottolog.org/langdoc?language=waor1240,136,1,14,2,3,1,7,11,1,0,29,10,1,5,2,1,0,ok
iter1241,https://glottolog.org/langdoc?language=iter1241,10,0,0,0,0,1,4,5,0,0,0,3,0,0,0,1,0,ok
godi1239,https://glottolog.org/langdoc?language=godi1239,51,1,7,5,0,1,3,4,0,0,0,5,0,5,0,0,0,ok
wutu1241,https://glottolog.org/langdoc?language=wutu1241,22,0,5,3,0,1,0,4,2,0,0,1,0,4,0,0,0,ok
nisi1238,https://glottolog.org/langdoc?language=nisi1238,4,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,ok
heib1243,https://glottolog.org/langdoc?language=heib1243,24,0,4,0,0,0,1,5,1,0,5,9,1,4,4,1,0,ok
bass1259,https://glottolog.org/langdoc?language=bass1259,6,0,0,0,0,1,1,2,0,0,0,3,1,0,2,0,0,ok
wuzl1236,https://glottolog.org/langdoc?language=wuzl1236,32,3,4,3,2,0,0,0,1,0,2,1,0,4,0,0,0,ok
nort2787,https://glottolog.org/langdoc?language=nort2787,5,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,ok
kich1262,https://glottolog.org/langdoc?language=kich1262,116,5,17,9,2,4,1,8,0,0,9,6,0,3,1,0,0,ok
lele1276,https://glottolog.org/langdoc?language=lele1276,15,2,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,ok
dera1245,https://glottolog.org/langdoc?language=dera1245,12,0,0,1,0,0,5,6,1,0,2,8,0,0,0,0,0,ok
bauc1238,https://glottolog.org/langdoc?language=bauc1238,6,0,1,0,0,0,2,1,1,0,0,4,0,0,1,0,0,ok
teri1244,https://glottolog.org/langdoc?language=teri1244,7,1,0,0,1,0,3,3,0,0,0,5,0,0,2,0,0,ok
dang1260,https://glottolog.org/langdoc?language=dang1260,15,0,0,1,2,1,3,4,1,0,1,4,0,1,4,0,0,ok
vute1244,https://glottolog.org/langdoc?language=vute1244,31,1,4,0,0,0,7,9,0,0,5,11,0,2,0,0,0,ok
lowe1441,https://glottolog.org/langdoc?language=lowe1441,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,ok
ewon1239,https://glottolog.org/langdoc?language=ewon1239,45,1,11,8,2,0,6,8,0,0,5,11,1,1,0,0,0,ok
sout2932,https://glottolog.org/langdoc?language=sout2932,2,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,ok
woli1241,https://glottolog.org/langdoc?language=woli1241,18,4,3,0,0,1,4,4,0,0,1,7,0,1,0,0,0,ok
qaua1234,https://glottolog.org/langdoc?language=qaua1234,21,0,4,1,1,2,2,9,2,0,0,6,0,0,0,0,0,ok
eteo1240,https://glottolog.org/langdoc?language=eteo1240,6,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,ok
aigh1235,https://glottolog.org/langdoc?language=aigh1235,7,0,0,0,0,0,2,5,1,0,0,6,0,0,0,0,0,ok
rung1258,https://glottolog.org/langdoc?language=rung1258,18,0,0,3,0,0,5,5,1,1,2,9,0,1,2,0,0,ok
phuk1235,https://glottolog.org/langdoc?language=phuk1235,11,0,0,0,1,1,0,5,1,0,2,6,0,0,2,0,0,ok
