iso639_3,glottocode,grammar,dictionary
sgm,sing1266,0,0
cuq,cunn1236,3,0
gfk,patp1243,2,1
bfn,buna1278,2,1
tef,tere1272,0,1
tvu,tune1261,2,1
wib,sout2797,0,1
tit,tini1245,0,0
nbk,nake1240,0,0
jbt,djeo1235,0,2
enl,nort2971,1,2
bys,bura1271,0,0
kwa,daww1239,1,0
tpm,tamp1252,0,0
bgo,baga1273,0,0
bdf,biag1234,0,0
brv,west2397,1,1
skl,sela1262,0,0
smu,somr1240,0,0
kis,kiss1246,0,0
auc,waor1240,2,1
itr,iter1241,0,0
god,godi1239,5,1
wuh,wutu1241,3,0
yso,nisi1238,0,1
hbn,heib1243,0,0
bsr,bass1259,0,0
udl,wuzl1236,3,3
tsp,nort2787,1,0
quc,kich1262,9,5
lln,lele1276,1,2
kbv,dera1245,1,0
bsf,bauc1238,0,0
tec,teri1244,0,1
thl,dang1260,1,0
vut,vute1244,0,1
poj,lowe1441,0,0
ewo,ewon1239,8,1
osu,sout2932,0,0
wlo,woli1241,0,4
gqu,qaua1234,1,0
ecy,eteo1240,0,0
aix,aigh1235,0,0
rou,rung1258,3,0
phh,phuk1235,0,0
cgc,kaga1256,1,0
gsg,germ1281,4,1
gvj,guaj1256,1,0
ukv,kuku1285,1,0
sgb,maga1263,0,1
hil,hili1240,10,3
nzu,teke1279,0,0
wya,wyan1247,3,6
lja,golp1234,0,0
cut,teut1235,0,0
asl,asil1242,0,2
kvu,yinb1236,0,0
kxw,kona1242,1,0
rac,rasa1243,0,0
cnu,chen1266,2,3
crq,iyow1239,2,0
tpl,tlac1237,0,0
okk,kwam1254,0,0
kac,kach1280,7,1
yub,yuga1244,0,0
kzo,kani1279,0,0
hvn,sabu1255,4,1
bid,bidi1241,3,1
rmn,balk1252,5,11
ysn,sani1269,1,2
pre,prin1242,3,0
tsx,muba1238,0,0
knh,kaya1334,0,0
aho,ahom1240,0,3
kiu,kirm1248,1,0
ons,onoo1246,0,0
krc,kara1465,3,4
hps,hawa1235,0,0
gaz,west2721,7,3
oml,ombo1238,0,0
kdf,mamu1254,0,0
wbh,wand1264,0,0
gur,fare1241,7,5
wln,wall1255,2,5
kad,kada1284,0,0
cbj,edec1238,0,0
coa,coco1260,0,0
tau,uppe1437,1,10
xth,yith1234,0,0
ymb,yamb1254,0,0
pmh,maha1305,0,0
xtj,sanj1282,0,0
zpl,lach1249,1,0
scn,sici1248,1,6
sjr,siar1238,4,0
tdk,tamb1267,0,0
cor,corn1251,3,4
ggn,east2345,0,1
elp,elpa1240,0,0
jau,yaur1239,0,0
