iso3,glottocode,parallel_score,n_pairs_total,total_sent_pairs,n_corpora
spa,spanish,97.92,3236,305697810,9
zho,mandarin chinese,97.14,5043,118408119,8
deu,german,96.66,2602,272595629,9
por,portuguese,94.52,1696,255599446,9
eng,english,93.32,2422,98186382,8
nld,dutch,92.95,1347,201073165,9
srp,serbian standard,92.36,2037,58434234,9
hun,hungarian,92.16,1417,121805182,9
fra,french,92.03,947,287809539,9
kor,korean,91.72,1440,94557766,9
ita,italian,91.41,890,244980654,9
kaz,kazakh,91.41,3121,21655719,8
rus,russian,90.93,820,233261382,9
ara,standard arabic,90.6,877,170012883,9
tur,turkish,90.39,841,169054237,9
pol,polish,90.28,800,180116057,9
ind,standard indonesian,89.73,789,141520819,9
bul,bulgarian,89.55,859,106952855,9
dan,danish,89.55,862,105960531,9
ces,czech,89.43,804,117067786,9
ron,romanian,89.37,798,115753936,9
vie,vietnamese,89.36,788,118489883,9
swe,swedish,89.35,798,115035390,9
tha,thai,89.27,788,113490159,9
fin,finnish,89.11,795,102897875,9
ukr,ukrainian,88.87,803,89472893,9
hin,hindi,88.86,781,94946610,9
hrv,croatian standard,88.78,772,93752292,9
jpn,japanese,88.74,776,142134789,8
ell,modern greek,88.7,796,83867935,9
lit,lithuanian,88.54,783,80538285,9
bel,belarusian,88.52,1385,33923621,8
heb,modern hebrew,88.49,806,73678272,9
slv,slovenian,88.24,787,68994282,9
kur,kurdish,88.23,1941,13579196,8
lav,latvian,88.17,778,68433588,9
tgk,tajik,88.11,1836,14551309,8
ben,bengali,88.06,903,72159271,8
slk,slovak,87.79,776,89455996,8
afr,afrikaans,87.36,775,46404533,9
isl,icelandic,86.86,755,38615477,9
cat,catalan,86.78,750,58901498,8
sqi,albanian,86.5,777,47405167,8
tgl,tagalog,86.11,732,44841943,8
mal,malayalam,85.99,766,24432353,9
mar,marathi,85.99,771,24046773,9
mkd,macedonian,85.96,731,41960952,8
tel,telugu,85.94,769,23573114,9
hye,eastern armenian,85.59,757,20650572,9
uzb,uzbek,85.59,1592,9682377,7
nep,eastern pahari,85.51,746,32135957,8
guj,gujarati,85.17,768,16264463,9
tam,tamil,85.05,736,26459237,8
kat,georgian,85.05,744,25854061,8
eus,basque,84.66,767,19908338,8
urd,urdu,84.65,801,29499773,7
sin,sinhala,84.6,722,22189541,8
epo,esperanto,84.44,804,16004874,8
cym,welsh,84.33,722,32063413,7
kan,kannada,84.21,766,10234567,9
khm,central khmer,84.04,704,17872493,8
mya,burmese,84.0,729,16180800,8
nno,norwegian nynorsk,83.84,787,20696423,7
pus,nuclear pashto,83.79,706,15734310,8
crh,crimean tatar,83.64,2446,4750085,5
nob,norwegian bokmål,83.54,820,16252323,7
nds,eastern low german,83.4,1359,16230503,5
glg,galician,83.14,741,16872721,7
xho,xhosa,83.07,707,18192532,7
asm,assamese,83.06,733,10095548,8
amh,amharic,82.95,728,16002468,7
nor,norwegian,82.89,614,77978570,5
uig,uighur,82.89,1846,3249207,6
pan,eastern panjabi,82.85,719,15673565,7
tat,tatar,82.82,1882,3017854,6
bos,bosnian standard,82.81,724,15181552,7
mon,mongolian,82.73,718,14830492,7
jav,javanese,82.68,1311,12375436,5
gle,irish,82.59,720,13753511,7
bre,breton,82.45,716,13012466,7
kir,kirghiz,82.0,705,10838464,7
som,somali,81.66,707,9107646,7
oci,occitan,81.58,715,8542884,7
ast,asturian-leonese-cantabrian,81.54,717,8310865,7
mri,maori,81.44,701,8344633,7
swh,swahili,81.23,682,27242931,5
hat,haitian,81.11,677,13592532,6
hau,hausa,81.05,672,7588705,7
wln,walloon,80.96,691,12056499,6
ory,odia,80.33,723,4516820,7
ibo,igbo,79.92,672,7731513,6
lao,lao,79.91,688,4125683,7
mlt,maltese,79.72,676,2375856,8
lat,latin,79.65,739,3094699,7
zul,zulu,79.65,701,6148625,6
kin,kinyarwanda,79.08,684,9456140,5
mai,maithili,78.83,691,8177654,5
ltz,moselle franconian,78.69,691,3963263,6
hbs,serbian-croatian-bosnian,78.51,1510,2529396,4
tuk,turkmen,78.46,690,3563955,6
yor,yoruba,78.4,670,7112216,5
lim,limburgan,78.27,672,6631081,5
sna,shona,78.06,691,5625277,5
ina,interlingua (international auxiliary language association),78.05,710,5240206,5
